date,close,pred,powell_class,position,entry_price,exit_price,pnl,return_pct
2025-08-23,115451.22641894565,1,0,0,,,,
2025-08-24,114949.99481420923,1,0,0,,,,
2025-08-25,113728.49611065692,1,0,0,,,,
2025-08-26,113223.8470829927,1,0,0,,,,
2025-08-27,112716.61031224453,1,0,0,,,,
2025-08-28,112664.2827341834,1,0,0,,,,
2025-08-29,111581.31205063756,1,0,0,,,,
2025-08-30,110875.45903797817,1,0,0,,,,
2025-08-31,110208.69427848363,1,0,0,,,,
2025-09-01,109953.49570886273,1,0,0,,,,
2025-09-02,110262.12178164705,1,0,0,,,,
2025-09-03,110611.54133623528,1,0,0,,,,
2025-09-04,110628.50600217647,1,0,0,,,,
2025-09-05,110625.10450163236,1,0,0,,,,
2025-09-06,110502.65337622426,1,0,0,,,,
2025-09-07,110645.99003216819,1,0,0,,,,
2025-09-08,110987.64252412613,1,0,0,,,,
2025-09-09,111115.70689309461,1,0,0,,,,
2025-09-10,111810.98016982096,1,0,0,,,,
2025-09-11,112714.98512736573,1,0,0,,,,
2025-09-12,113530.8388455243,1,0,0,,,,
2025-09-13,114113.80413414323,1,0,0,,,,
2025-09-14,114387.85310060742,1,0,0,,,,
2025-09-15,114616.03982545558,1,0,0,,,,
2025-09-16,115148.85486909168,1,0,0,,,,
2025-09-17,115462.26615181877,1,0,0,,,,
2025-09-18,115850.97461386406,1,0,0,,,,
2025-09-19,115780.60596039804,1,0,0,,,,
2025-09-20,115741.67947029852,1,0,0,,,,
2025-09-21,115602.23460272388,1,0,0,,,,
2025-09-22,114852.85095204292,1,0,0,,,,
2025-09-23,114126.3882140322,1,0,0,,,,
2025-09-24,113908.29116052415,1,0,0,,,,
2025-09-25,112664.84337039312,1,0,0,,,,
2025-09-26,111895.75752779483,1,0,0,,,,
2025-09-27,111316.14314584613,1,0,0,,,,
2025-09-28,111517.00735938459,1,0,0,,,,
2025-09-29,112202.03051953844,1,0,0,,,,
2025-09-30,112648.72288965383,1,0,0,,,,
2025-10-01,114124.64216724038,1,0,0,,,,
2025-10-02,115713.80662543028,1,0,0,,,,
2025-10-03,117331.02996907271,1,0,0,,,,
2025-10-04,118584.07247680453,1,0,0,,,,
2025-10-05,119794.7293576034,1,0,0,,,,
2025-10-06,121003.17201820255,1,0,0,,,,
2025-10-07,121074.00401365191,1,0,0,,,,
2025-10-08,121614.87801023893,1,0,0,,,,
2025-10-09,121605.9835076792,1,-1,0,,,,
2025-10-10,119383.2126307594,1,-1,0,,,,
2025-10-11,117182.18447306956,1,-1,0,,,,
2025-10-12,116610.23835480216,1,-1,0,,,,
2025-10-13,116235.65376610163,1,-1,0,,,,
2025-10-14,115422.69032457622,1,-1,0,,,,
2025-10-15,114241.76774343217,1,-1,0,,,,
2025-10-16,112713.67580757412,1,-1,0,,,,
2025-10-17,111129.9068556806,1,-1,0,,,,
2025-10-18,110126.80514176044,1,-1,0,,,,
2025-10-19,109741.65385632034,1,-1,0,,,,
2025-10-20,109923.71539224026,1,-1,0,,,,
2025-10-21,109506.2115441802,1,-1,0,,,,
2025-10-22,109012.65865813516,1,-1,0,,,,
2025-10-23,109265.96899360136,1,-1,0,,,,
2025-10-24,109690.82674520102,1,-1,0,,,,
2025-10-25,110165.47005890077,1,-1,0,,,,
2025-10-26,111248.55254417557,1,-1,0,,,,
2025-10-27,111952.43940813167,1,-1,0,,,,
2025-10-28,112172.70455609876,1,-1,0,,,,
2025-10-29,111625.92841707406,1,-1,0,,,,
2025-10-30,110785.32131280555,1,-1,0,,,,
2025-10-31,110478.31598460417,1,-1,0,,,,
2025-11-01,110370.53698845312,1,-1,0,,,,
2025-11-02,110401.62774133985,1,-1,0,,,,
2025-11-03,109437.22080600489,1,-1,0,,,,
